,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.14082465171813965,0.005671762260689275,0.1612185001373291,0.010417314720587963,lloyd,2,"{'algorithm': 'lloyd', 'n_clusters': 2}",6025507.828723893,11864793.961848885,5703183.933026937,6470054.691344903,7458846.972136188,7504477.4774161605,2259047.6817713478,1
1,0.14010324478149414,0.0034229708342265095,0.15620989799499513,0.010998331889136835,lloyd,3,"{'algorithm': 'lloyd', 'n_clusters': 3}",3666168.9568610247,6614756.61527523,3115339.631507316,4643233.330454488,3955139.9784136103,4398927.7025023345,1212523.3416224034,4
2,0.14206056594848632,0.0020949917706631492,0.1547311305999756,0.01201450641258015,lloyd,4,"{'algorithm': 'lloyd', 'n_clusters': 4}",2871227.4680956025,5327801.0563415475,2241179.36405033,3767759.011009237,3421838.784457409,3525961.1367908255,1038775.736375071,5
3,0.14304122924804688,0.004931436043304733,0.14993200302124024,0.007899676865206802,lloyd,5,"{'algorithm': 'lloyd', 'n_clusters': 5}",1933930.5089397267,3229918.603220847,1694100.1932107408,2775650.20176581,2015811.2358253002,2329882.1485924846,577652.4406369426,9
4,0.14766430854797363,0.009610279893887031,0.15879440307617188,0.009448392138148716,lloyd,6,"{'algorithm': 'lloyd', 'n_clusters': 6}",1938894.9319158292,3190065.224303347,1573431.5009363403,2582752.9777182764,1868650.8857487533,2230759.1041245093,581816.9048777363,10
5,0.1489626407623291,0.01239618599945889,0.17066264152526855,0.014737119209043248,lloyd,7,"{'algorithm': 'lloyd', 'n_clusters': 7}",1777320.4852279522,2274885.6943116575,1418458.488419671,2194638.8078666255,1789076.566352213,1890876.0084356237,311824.172777626,12
6,0.1512589931488037,0.009957267336212553,0.14521727561950684,0.014956922682359493,lloyd,8,"{'algorithm': 'lloyd', 'n_clusters': 8}",1528291.0080715497,2427395.8039048184,1143756.625599466,2182926.068773082,1501938.7140203607,1756861.6440738551,474188.7710780459,13
7,0.14043598175048827,0.003587461941955073,0.1514521598815918,0.0034623445929334714,elkan,2,"{'algorithm': 'elkan', 'n_clusters': 2}",5090745.304063154,11864793.961848883,5703183.933026938,6470054.691344905,7458846.972136188,7317524.972484013,2407508.1611494883,2
8,0.15363340377807616,0.018597270380183883,0.15834555625915528,0.013154078857859087,elkan,3,"{'algorithm': 'elkan', 'n_clusters': 3}",3666168.9568610247,6756652.152948552,3231456.067476244,4989844.30672384,3955139.9784136103,4519852.292484654,1259508.3308196736,3
9,0.14550557136535644,0.005371588087243883,0.15216894149780275,0.0038442509530863126,elkan,4,"{'algorithm': 'elkan', 'n_clusters': 4}",3044082.911851888,5010112.609869609,2401186.2023020647,3504644.432579581,2421000.1443417985,3276205.2601889884,960159.7866181469,6
10,0.14822893142700194,0.008121354273341081,0.1596846103668213,0.00794270364001326,elkan,5,"{'algorithm': 'elkan', 'n_clusters': 5}",2682038.6316616847,3227793.8663411913,1694100.1932107406,2760960.182141424,2016815.693023404,2476341.7132756887,549739.0639934867,8
11,0.1477517604827881,0.007245940784526674,0.15069656372070311,0.005729741602553944,elkan,6,"{'algorithm': 'elkan', 'n_clusters': 6}",2078354.0407264067,3267775.8440708336,1537495.8772265364,2590300.430050306,3220798.9643878723,2538945.031292391,665402.2821548507,7
12,0.13812580108642578,0.003923656668821527,0.1577282428741455,0.013793509080207073,elkan,7,"{'algorithm': 'elkan', 'n_clusters': 7}",1573762.8251669002,3311642.201759456,1444773.6822826737,2216172.7024028385,1681364.1428015204,2045543.1108826778,685309.8905669514,11
13,0.14131731986999513,0.002417699019127714,0.15954289436340333,0.014110963261774155,elkan,8,"{'algorithm': 'elkan', 'n_clusters': 8}",1553551.697725047,2442618.096626163,1407278.982759833,1300697.7913549154,1539376.256574399,1648704.5650080715,407602.8628790135,14
