		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/09/20	0:05	9.9	9.9	9.9	78	6.2	0.0	---	0.00	0.0	---	9.9	9.8	9.8	8.3	1028.9	0.25	2.3	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.2	34	2.9	17.4	0.00	109	1	95.6	5
01/09/20	0:10	9.9	9.9	9.9	78	6.2	0.0	E	0.00	1.6	E	9.9	9.8	9.8	8.3	1028.9	0.00	2.3	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.2	34	2.9	17.4	0.00	110	1	96.5	5
01/09/20	0:15	9.9	9.9	9.9	78	6.2	0.0	---	0.00	1.6	E	9.9	9.8	9.8	8.3	1028.9	0.00	1.5	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.2	34	2.9	17.4	0.00	107	1	93.9	5
01/09/20	0:20	9.9	9.9	9.9	78	6.2	0.0	E	0.00	1.6	E	9.9	9.8	9.8	8.3	1028.9	0.00	1.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.2	34	2.9	17.4	0.00	108	1	94.7	5
01/09/20	0:25	9.9	9.9	9.9	78	6.2	0.0	---	0.00	0.0	---	9.9	9.8	9.8	8.3	1028.9	0.25	1.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.2	34	2.9	17.4	0.00	111	1	97.4	5
01/09/20	0:30	9.9	9.9	9.9	78	6.2	0.0	---	0.00	0.0	---	9.9	9.8	9.8	8.3	1028.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.2	34	2.9	17.4	0.00	109	1	95.6	5
01/09/20	0:35	9.9	9.9	9.9	76	5.9	0.0	---	0.00	0.0	---	9.9	9.8	9.8	8.3	1028.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.1	34	2.8	17.3	0.00	112	1	98.2	5
01/09/20	0:40	9.9	9.9	9.9	75	5.7	0.0	E	0.00	1.6	E	9.9	9.8	9.8	8.3	1028.8	0.25	1.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.1	34	2.8	17.3	0.00	109	1	95.6	5
01/09/20	0:45	9.9	9.9	9.9	75	5.7	0.0	E	0.00	1.6	E	9.9	9.8	9.8	8.3	1028.4	0.00	1.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.1	34	2.8	17.3	0.00	110	1	96.5	5
01/09/20	0:50	9.9	9.9	9.9	75	5.7	0.0	---	0.00	0.0	---	9.9	9.8	9.8	8.3	1028.4	0.00	1.0	0	0.00	0	0.0	0.00	0.0	0.029	0.000	19.1	34	2.8	17.3	0.00	106	1	93.0	5
